성별,생일,결혼 유무,종교 유무,직업 코드,소득,지역구,나이,직업,연령대,점수,신용
남성,1948,무응답,없슴,942,120,서울,73,경비원 및 검표원,노년,7.9,128
남성,1945,이혼,없슴,942,220.2,서울,76,경비원 및 검표원,노년,7.1,111
남성,1946,결혼,없슴,942,139,서울,75,경비원 및 검표원,노년,6.8,139
남성,1953,결혼,없슴,942,150,서울,68,경비원 및 검표원,노년,8.5,126
남성,1960,결혼,있슴,942,166,서울,61,경비원 및 검표원,노년,7.1,123
남성,1939,결혼,있슴,942,241.619016,서울,82,경비원 및 검표원,노년,6.6,135
남성,1947,결혼,있슴,942,150,수도권,74,경비원 및 검표원,노년,6.2,127
남성,1952,이혼,없슴,942,170,서울,69,경비원 및 검표원,노년,7.8,139
남성,1949,결혼,있슴,942,100,서울,72,경비원 및 검표원,노년,7.5,131
남성,1942,결혼,있슴,942,120,서울,79,경비원 및 검표원,노년,7.5,141
남성,1944,결혼,있슴,942,160,서울,77,경비원 및 검표원,노년,6.9,137
남성,1947,결혼,없슴,942,150.8,서울,74,경비원 및 검표원,노년,6.1,118
남성,1961,무응답,없슴,942,174,서울,60,경비원 및 검표원,노년,6.7,126
남성,1949,결혼,있슴,942,147,서울,72,경비원 및 검표원,노년,7.3,149
남성,1956,무응답,없슴,942,152,서울,65,경비원 및 검표원,노년,6.5,141
남성,1935,결혼,있슴,942,70,서울,86,경비원 및 검표원,노년,7.2,108
남성,1952,결혼,없슴,942,120,부산/경남/울산,69,경비원 및 검표원,노년,6.6,169
남성,1948,결혼,있슴,942,130,부산/경남/울산,73,경비원 및 검표원,노년,8.1,134
남성,1955,결혼,없슴,942,140.8,부산/경남/울산,66,경비원 및 검표원,노년,6.7,126
남성,1939,결혼,없슴,942,83,부산/경남/울산,82,경비원 및 검표원,노년,6.8,139
남성,1955,결혼,있슴,942,147,부산/경남/울산,66,경비원 및 검표원,노년,7.5,130
남성,1947,결혼,없슴,942,130,부산/경남/울산,74,경비원 및 검표원,노년,7,125
남성,1945,무응답,있슴,942,86,부산/경남/울산,76,경비원 및 검표원,노년,6.7,147
남성,1944,결혼,있슴,942,90,부산/경남/울산,77,경비원 및 검표원,노년,7.9,124
남성,1949,결혼,없슴,942,120,부산/경남/울산,72,경비원 및 검표원,노년,6.1,129
남성,1945,결혼,있슴,942,117.8,부산/경남/울산,76,경비원 및 검표원,노년,7.2,125
남성,1960,이혼,없슴,942,250,대구/경북,61,경비원 및 검표원,노년,7.7,152
남성,1957,결혼,없슴,942,100,대구/경북,64,경비원 및 검표원,노년,8.2,127
남성,1942,결혼,없슴,942,241.619016,대구/경북,79,경비원 및 검표원,노년,5.9,132
남성,1953,결혼,있슴,942,126,수도권,68,경비원 및 검표원,노년,7,139
