단어,빈도수
자유,32
국민,15
시민,15
세계,13
평화,12
것,12
사회,11
수,10
나라,9
국제,9
해결,9
위기,8
존경,7
문제,7
가치,7
연대,6
감사,5
국가,5
우리나라,5
성장,5
민주주의,5
과학,5
북한,5
역할,4
대통령,4
국내,4
갈등,4
번영,4
경제,4
위협,4
기술,4
혁신,4
인권,4
사랑,3
자유민주주의,3
기반,3
책임,3
자리,3
역사,3
극복,3
양극,3
힘,3
보편,3
생각,3
확대,3
모두,3
공정,3
지속,3
한반도,3
시장,2
주인,2
간,2
과정,2
해주시,2
난제,2
인류,2
인해,2
공동체,2
정치,2
반지성주의,2
사람,2
진실,2
때,2
풍요,2
구성원,2
개인,2
침해,2
기회,2
보장,2
존엄,2
삶,2
방향,2
뿐,2
도약,2
존중,2
협력,2
아시아,2
핵,2
개발,2
비핵화,2
주도,2
대한민국,2
기대,2
재외동포,1
경제 체제,1
재건,1
시대,1
소명,1
오늘,1
문재인,1
박근혜,1
리마,1
싱가포르,1
포,1
스탱,1
아르,1
샹,1
쥬,1
투,1
아,1
데,1
중앙아프리카,1
공화국,1
왕치산,1
중국,1
부주석,1
메가와티 수카르노푸트리,1
인도네시아,1
더글러스,1
해리스,1
미국,1
부통령,1
부군,1
조지,1
퓨리,1
캐나다 상원,1
의장,1
하야시 요시마사,1
일본,1
외무상,1
각국,1
경축,1
사절,1
내외,1
귀빈,1
2년,1
코로나,1
고통,1
감내,1
경의,1
헌신,1
의료진,1
교역,1
질서,1
변화,1
공급,1
망,1
재편,1
기후 변화,1
식량,1
에너지,1
분쟁,1
후퇴,1
등,1
독자,1
참여,1
직면,1
복합,1
그림자,1
규모,1
실업,1
심화,1
결속력,1
와해,1
한편,1
기능,1
원인,1
지목,1
견해,1
서로,1
입장,1
조정,1
타협,1
전제,1
지탱,1
합리주의,1
지성,1
주의,1
내부,1
집단,1
왜곡,1
각자,1
사실,1
선택,1
다수,1
상대,1
의견,1
억압,1
믿음,1
상황,1
지혜,1
용기,1
순간,1
부여,1
마음,1
확신,1
국내외,1
어려움,1
공유,1
인식,1
재발견,1
권리,1
숨,1
곳,1
꽃,1
방치,1
승자,1
독식,1
수준,1
기초,1
교육,1
문화,1
접근,1
유린,1
필요,1
조건,1
충족,1
개별,1
기아,1
빈곤,1
공권력,1
군사력,1
불법,1
행위,1
유지,1
규칙,1
박,1
애,1
정신,1
눈,1
제가,1
말씀,1
발전,1
발목,1
사회 이동,1
제고,1
근원,1
제거,1
혼자,1
노력,1
달성,1
창의,1
진보,1
일시,1
전쟁,1
회피,1
추구,1
곳도,1
동북아,1
마찬가지,1
대화,1
문,1
중단,1
실질,1
전환,1
주민,1
삶의 질,1
획기적,1
개선,1
계획,1
준비,1
기여,1
위,1
대국,1
그룹,1
규범,1
적극,1
지지,1
수호,1
글로벌,1
리더,1
자세,1
분리,1
수행,1
출처,1
정책,1
브리핑,1
.kr,1
