브랜드,상호,주소,시도,군구,위도,경도
이디야,강남YMCA점,서울 강남구 논현동,서울,강남구,37.512645150688,127.030154778539
이디야,강남구청역아이티웨딩점,"서울 강남구 학동로 338 (논현동, 강남파라곤)",서울,강남구,37.51654171724045,127.0401601992311
이디야,강남나누리병원점,서울 강남구 언주로149길 5 (논현동),서울,강남구,37.5205092341033,127.033694770592
이디야,강남논현학동점,서울 강남구 논현로131길 28 (논현동),서울,강남구,37.51408005446769,127.02810578707652
이디야,강남대치점,"서울 강남구 역삼로 415 (대치동, 성진빌딩)",서울,강남구,37.50133876179308,127.05242928262568
이디야,강남도산점,서울 강남구 도산대로37길 20 (신사동),서울,강남구,37.5222784215718,127.031487626912
이디야,강남율현점,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)",서울,강남구,37.4735487656314,127.107863694133
이디야,강남행복병원점,"서울 강남구 헌릉로590길 60 (세곡동, 강남구립 행복요양병원)",서울,강남구,37.4611766303736,127.10332264232
이디야,개포동역점,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩)",서울,강남구,37.488604436046536,127.06742226515867
이디야,대청역점,"서울 강남구 개포로109길 34 (개포동, 대청프라자)",서울,강남구,37.49418891219431,127.07764131137398
이디야,대치역점,"서울 강남구 남부순환로 2937 (대치동, 까치빌딩)",서울,강남구,37.4940924880388,127.061617564506
이디야,도산사거리점,서울 강남구 논현동 ,서울,강남구,37.512645150688,127.030154778539
이디야,삼성대치점,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩)",서울,강남구,37.50043704079942,127.06310437319587
이디야,삼성동점,서울 강남구 테헤란로88길 10 (대치동),서울,강남구,37.5068423754133,127.059463196738
이디야,삼성한전점,서울 강남구 테헤란로107길 11 (삼성동),서울,강남구,37.5104297492841,127.065059101392
이디야,선릉점,"서울 강남구 선릉로86길 15 (대치동, 현대선릉 GOLD TOWER)",서울,강남구,37.50346806209728,127.05088702698811
이디야,신사역점,서울 강남구 압구정로2길 62 (신사동),서울,강남구,37.517782772275645,127.02145819084597
이디야,압구정현대점,"서울 강남구 압구정로 214 (신사동, 현대종합상가빌딩)",서울,강남구,37.527994487818226,127.03073566616045
이디야,역삼역점,서울 강남구 테헤란로25길 17 (역삼동),서울,강남구,37.50178663316214,127.03523956508853
이디야,역삼월드점,"서울 강남구 역삼로52길 14 (역삼동, 도곡프라자)",서울,강남구,37.49854753271711,127.04798299548432
이디야,역삼점,서울 강남구 논현로72길 13 (역삼동),서울,강남구,37.4958440607421,127.040532805045
이디야,역삼중앙점,서울 강남구 언주로81길 8 (역삼동),서울,강남구,37.5003154494517,127.04292899982501
이디야,역삼초교점,서울 강남구 강남대로 314 (역삼동),서울,강남구,37.4913189579708,127.031257745326
이디야,역삼충현점,서울 강남구 논현로98길 7 (역삼동),서울,강남구,37.5037648162983,127.036345775147
이디야,역삼플래티넘점,"서울 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)",서울,강남구,37.4955481444177,127.03006467392
이디야,을지병원사거리점,서울 강남구 도산대로30길 7 (논현동),서울,강남구,37.5193954737507,127.029425389395
이디야,이디야커피랩,"서울 강남구 논현로 636 (논현동, 이디야빌딩)",서울,강남구,37.51047297481296,127.032981540064
이디야,일원동점,서울 강남구 양재대로27길 20 (일원동),서울,강남구,37.49040201406986,127.08160067456867
이디야,청담사거리점,서울 강남구 도산대로 521 (청담동),서울,강남구,37.524855870334314,127.05035288418118
이디야,청담역점,"서울 강남구 삼성로 721 (청담동, 룩희 819)",서울,강남구,37.5200643058897,127.049146860404
이디야,학동역점,"서울 강남구 학동로 219 (논현동, 국제빌딩)",서울,강남구,37.51499417378034,127.03312378880225
이디야,학동제마점,서울 강남구 학동로34길 22 (논현동),서울,강남구,37.5131174134101,127.033652198273
이디야,한티역점,서울 강남구 도곡로69길 8 (대치동),서울,강남구,37.4979490135961,127.056118735013
이디야,4.19사거리점,서울 강북구 삼양로 501 (수유동),서울,강북구,37.647893174147,127.014231720461
이디야,가오리역점,서울 강북구 삼각산로 108 (수유동),서울,강북구,37.6406008108564,127.016163948133
이디야,미아꿈의숲해링턴점,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)",서울,강북구,37.6169375235603,127.034460650104
이디야,미아역점,서울 강북구 도봉로 207 -3(미아동),서울,강북구,37.6270583442503,127.02547799375
이디야,미아중앙점,서울 강북구 도봉로 128 (미아동),서울,강북구,37.6204702944714,127.028752360124
이디야,미아트리베라점,"서울 강북구 삼양로19길 25 (미아동, 삼성래미안트리베라1차아파트)",서울,강북구,37.6156943247238,127.021139026425
이디야,번동점,"서울 강북구 오현로 194 (번동, 덕수빌딩)",서울,강북구,37.6288359683906,127.03987378053
이디야,북한산점,서울 강북구 4.19로 85 (수유동),서울,강북구,37.6447601874917,127.005613427587
이디야,수유사거리점,"서울 강북구 덕릉로 82 (수유동, 제네스타워)",서울,강북구,37.6344266074982,127.022843274109
이디야,수유역점,서울 강북구 도봉로 355 (수유동),서울,강북구,37.6393467065696,127.026708100926
이디야,우이역도선사점,서울 강북구 삼양로173길 21 (우이동),서울,강북구,37.6625815694576,127.011370528324
이디야,한신대점,서울 강북구 덕릉로 31 (수유동),서울,강북구,37.6343160541282,127.016985885932
이디야,강서nc점,서울 강서구 강서로54길 11 (등촌동),서울,강서구,37.5594168739297,126.839349532387
이디야,강서구청점,"서울 강서구 화곡로 292 (화곡동, 서광프리메라)",서울,강서구,37.5501868292157,126.848722796198
이디야,강서한강자이점,서울 강서구 양천로 401 (가양동),서울,강서구,37.5657034766638,126.847638315393
이디야,개화산역점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",서울,강서구,37.5722836809967,126.80696733511
이디야,개화산점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",서울,강서구,37.5723030060453,126.806994113323
이디야,공항시장역점,"서울 강서구 방화동로 37 (방화동, 메디스타워)",서울,강서구,37.5641822785808,126.810682079138
이디야,까치산로점,서울 강서구 까치산로 182 (화곡동),서울,강서구,37.553313221654,126.853891289928
이디야,등촌3동성당점,"서울 강서구 강서로56길 110 (등촌동, SJC빌딩)",서울,강서구,37.5588989867375,126.844878507014
이디야,등촌동점,"서울 강서구 공항대로61길 20 (염창동, 우리프리머스)",서울,강서구,37.5518113314282,126.865793360516
이디야,등촌역점,서울 강서구 등촌로 217 (등촌동),서울,강서구,37.5491824406556,126.863315147109
이디야,마곡대방디엠씨티점,"서울 강서구 양천로 344 (마곡동, 마곡센트럴대방디엠시티오피스텔)",서울,강서구,37.56843913691685,126.84038658631331
이디야,마곡엠밸리점,"서울 강서구 마곡서로 101 (마곡동, 동익드미라벨복합빌딩)",서울,강서구,37.5626706927393,126.823605646871
이디야,마곡중앙점,"서울 강서구 마곡중앙6로 66 (마곡동, 퀸즈파크텐)",서울,강서구,37.559915259194,126.8343608462
이디야,마곡파인스퀘어점,"서울 강서구 마곡중앙4로 22 (마곡동, 파인스퀘어)",서울,강서구,37.5582813792344,126.829290828058
이디야,마곡헤리움점,"서울 강서구 마곡중앙5로1길 25 (마곡동, 마곡헤리움2차)",서울,강서구,37.5692420716795,126.826138036672
이디야,발산역점,서울 강서구 공항대로 280 (내발산동),서울,강서구,37.55807272536136,126.8383941467497
이디야,방화동로점,서울 강서구 방화동로 95 (방화동),서울,강서구,37.5690161610357,126.812631152778
이디야,방화역점,"서울 강서구 금낭화로 145 (방화동, 에어뷰21-1오피스텔)",서울,강서구,37.5783009851923,126.812798304593
이디야,신방화역점,"서울 강서구 마곡중앙5로 81 (마곡동, 에스비타운)",서울,강서구,37.5671170824829,126.818597219555
이디야,염창동점,서울 강서구 양천로 689 (염창동),서울,강서구,37.5505597737771,126.872893822047
이디야,예원문화센터점,"서울 강서구 화곡로63길 65 (등촌동, 예원교회)",서울,강서구,37.55786209369936,126.84945198496683
이디야,우장산동점,서울 강서구 우현로 15 (화곡동),서울,강서구,37.5471679730925,126.843625687446
이디야,우장산역점,서울 강서구 강서로45길 5 (화곡동),서울,강서구,37.5478575498901,126.835824572069
이디야,화곡로점,서울 강서구 화곡로 133 (화곡동),서울,강서구,37.5408336595688,126.83649036711
이디야,화곡본동시장점,서울 강서구 까치산로4길 11 (화곡동),서울,강서구,37.54223429652289,126.84424724638545
이디야,화곡사거리점,서울 강서구 곰달래로 135 (화곡동),서울,강서구,37.5307647642885,126.847921657041
이디야,관악산으뜸점,서울 관악구 신림로 21 (신림동),서울,관악구,37.4684727257098,126.944897173087
이디야,관악우성점,서울 관악구 관악로 232 (봉천동),서울,관악구,37.4849644283346,126.95603357684
이디야,관악하나로마트점,"서울 관악구 남부순환로 1369 (신림동, 관악농협농산물백화점)",서울,관악구,37.4801290693885,126.902896907397
이디야,난곡사거리점,서울 관악구 남부순환로 1444 (신림동),서울,관악구,37.4809279906563,126.911256043771
이디야,남현홈플러스점,"서울 관악구 과천대로 909 (남현동, 남현프라자)",서울,관악구,37.4714704021418,126.982466468514
이디야,녹두거리점,서울 관악구 신림로 91 (신림동),서울,관악구,37.4703086452623,126.939065988966
이디야,보라매중앙점,"서울 관악구 보라매로 62 (봉천동, 보라매삼성아파트)",서울,관악구,37.4948015028766,126.927602560192
이디야,봉일시장점,서울 관악구 은천로 23 (봉천동),서울,관악구,37.4864072865821,126.937927086846
이디야,봉천역점,서울 관악구 남부순환로 1725 (봉천동),서울,관악구,37.4826845342451,126.941891346509
이디야,봉천현대시장점,서울 관악구 양녕로 39-1 (봉천동),서울,관악구,37.4857087156598,126.946749008784
이디야,서울대중앙점,서울 관악구 남부순환로216길 2 (봉천동),서울,관악구,37.48137982242393,126.9490007619789
이디야,신대방역점,서울 관악구 난곡로 368 (신림동),서울,관악구,37.4868566719231,126.913752282818
이디야,신림대학동점,서울 관악구 호암로26길 17 (신림동),서울,관악구,37.4707490184504,126.934607229207
이디야,신림문화교점,"서울 관악구 신림로46길 1 (신림동, 서원동성당)",서울,관악구,37.4784569907315,126.933022235665
이디야,신림미성점,서울 관악구 난곡로 250 (신림동),서울,관악구,37.4765402893322,126.915984298817
이디야,신림별빛점,서울 관악구 관천로 34 (신림동),서울,관악구,37.4830534704639,126.927792086178
이디야,신림패션문화점,서울 관악구 봉천로6길 24 (신림동),서울,관악구,37.488621134755,126.925430749958
이디야,청룡중앙점,"서울 관악구 쑥고개로 80 (봉천동, 제이빌딩)",서울,관악구,37.4792117658952,126.945267468435
이디야,건대스타시티점,"서울 광진구 아차산로 272 (자양동, 더샵스타시티)",서울,광진구,37.5385582736952,127.072996184863
이디야,건대역점,"서울 광진구 아차산로 229 (화양동, 한림타워)",서울,광진구,37.540809126931,127.068990676571
이디야,구의자양로점,서울 광진구 자양로 251 (구의동),서울,광진구,37.548993161964745,127.0893030454462
이디야,군자역점,"서울 광진구 능동로 290 (능동, 삼일빌딩)",서울,광진구,37.5555832993412,127.078979184085
이디야,동서울터미널점,서울 광진구 구의동 ,서울,광진구,37.5502741239801,127.093135225891
이디야,세종대후문점,서울 광진구 군자로 109 (군자동),서울,광진구,37.5528721561007,127.071997503193
