브랜드,상호,주소,시도,군구,위도,경도,전화번호,서비스
할리스,충무로역점,"서울특별시 중구 퇴계로36길 2 (필동2가, 동국대학교충무로영상센터)",서울특별시,중구,37.5606439510409,126.993567232255,02-2268-8960,['주차']
할리스,FKI타워2호점,"서울특별시 영등포구 여의대로 24 (여의도동, 에프케이아이타워) 1층",서울특별시,영등포구,37.5221803249647,126.919916550827,02-782-3647,['서비스 없음']
할리스,신대방삼거리역점,서울특별시 동작구 상도로 60 (대방동) 1층~2층,서울특별시,동작구,37.4995614234716,126.927153186125,02-823-2377,['서비스 없음']
할리스,여의도포스트타워점,서울특별시 영등포구 여의나루로 60 포스트타워 여의도 1층,서울특별시,영등포구,37.5223003029771,126.926225192863,02-2135-5321,['주차']
할리스,대림역점,서울특별시 영등포구 도림로 140 대림빌딩 101호,서울특별시,영등포구,37.4930241705718,126.897628371815,02-834-1000,['테라스']
할리스,충정로역점,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동 지하1층 102호,서울특별시,서대문구,37.5610226183,126.962192415514,02-363-0807,['주차']
할리스,서서울공원점,서울특별시 양천구 남부순환로58길 37 신월동 205-36,서울특별시,양천구,37.5291587223783,126.831707115465,070-4277-6756,"['테라스', '주차']"
할리스,경희대 청운관점,서울 동대문구 경희대로 26 청운관 지하1층,서울,동대문구,37.5939491407769,127.054890960564,,['주차']
할리스,덕성여대점,서울시 강북구 삼양로 547 1~3층,서울시,강북구,37.6516375000425,127.012463182729,02-6093-0011,"['테라스', '주차']"
할리스,당산1가점,"서울특별시 영등포구 양산로 146, DE' HAR (당산동1가 256,258)",서울특별시,영등포구,37.5235012531296,126.899170493803,02-2679-7942,['서비스 없음']
할리스,메리츠봉래타워점,서울시 중구 칠패로 28 메리츠강북타워 1층,서울시,중구,37.5592510458885,126.97211628887,02-753-8835,['주차']
할리스,고덕비즈밸리점,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,서울특별시,강동구,37.5662716017863,127.15962203189,070-7782-0055,"['테라스', '주차']"
할리스,파르나스몰점,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 파르나스몰 내 B1층 F-3a호",서울특별시,강남구,37.5091916919873,127.06080691987,02-3453-1024,['주차']
할리스,석계역점,서울시 노원구 화랑로 325 1층,서울시,노원구,37.6149530035255,127.064043360012,02-942-1345,['주차']
할리스,국민대 성곡도서관점,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) 도서관 지하1층",서울특별시,성북구,37.6102919873059,126.998494142731,02-910-4954,['주차']
할리스,경희대 경영대점,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,서울특별시,동대문구,37.5939491407769,127.054890960564,,['주차']
할리스,명동역점,"서울특별시 중구 퇴계로 131 (충무로2가, 신일빌딩)",서울특별시,중구,37.5612833166249,126.986361886176,02-752-5925,['서비스 없음']
