도서명,저자,발행처,발행년도,자료유형,소장처,등록일
숨어있기 좋은 방 :신이현 소설,신이현 지음,넥서스,2021,단행본,서울도서관,20251203
외롭다면 잘 살고 있는 것이다 :부아c 에세이,부아c 지음,Page2(페이지2북스),2025,단행본,서울도서관,20251203
챗GPT 저는 이렇게 쓰고 있어요 :일상부터 업무까지!나의 고민을 해결해 주는 챗GPT 활용 팁북,최소영 지음,길벗,2025,단행본,서울도서관,20251203
AI 모델링과 데이터 전략,한국신용정보원 [편],한국신용정보원,2025,단행본,서울도서관,20251203
"블루 뉴딜 :기후변화 시대, 해양의 새로운 정치학",크리스 암스트롱 지음,나름북스,2025,단행본,서울도서관,20251203
"드림원탑 :간호학과 top이 말하는 알찬 대학 생활 tip .[5] ,정신간호학편",김효정 저,드림널스,2025,단행본,서울도서관,20251203
Hitam Putih Pajajaran :dari Kejayaan Hingga Keruntuhan Kerajaan Pajajaran,[by] Fery Taufiq El-Jaquene,Araska Publisher,2022,단행본,서울도서관,20251203
"김형석, 백 년의 유산 :106세 철학자가 길어 올린 최후의 인간학",김형석 지음,21세기북스 : 북이십일,2025,단행본,서울도서관,20251203
크리스티안 페촐트 :색채를 지닌 누아르,크리스티안 페촐트,마음산책,2025,단행본,서울도서관,20251203
탄탄하게 시작하는 진짜 경매 공부 :기초부터 실전까지 아낌없이 공개한 진짜 경매,서승관 지음,나비의활주로,2025,단행본,서울도서관,20251203
가난의 명세서 :자아에 가격 매기기,김나연 지음,글항아리,2025,단행본,서울도서관,20251203
Suara rakyat suara Tuhan :kenapa gerakan protes sosial sedunia marak,[by] Hendri Teja,Serambi Ilmu Semesta,2020,단행본,서울도서관,20251203
Sejarah Islam di Jawa :menelusuri genealogi Islam di Jawa,[by] Kamil Hamid Baidawi,Araska publisher,2020,단행본,서울도서관,20251203
Filosofi hidup bahagia,[by] Bertrand Russell,renebook,2022,단행본,서울도서관,20251203
"Bodo amat :seni mencipta bahagia, meraih cita-cita dan cinta",[by] Eko B. Saputro,Araska Publisher,2022,단행본,서울도서관,20251203
(The) master book of personal branding :seni membangun merek diri dengan teknik berbicara,[by] Farco Siswiyanto Raharjo,Quadrant,2022,단행본,서울도서관,20251203
Selalu ada pesan untuk saling menguatkan,[by] Kataitem,Grasindo: Gramedia Widiasarana Indonesia,2022,단행본,서울도서관,20251203
Menjadi pribadi tegas dan berwibawa setiap saat dan di semua situasi,[by] Manggala Prayoga,Araska Publisher,2022,단행본,서울도서관,20251203
Step by Step Google AdSense,[by] Dedik Kurniawan,Elex Media Komputindo,2020,단행본,서울도서관,20251203
Kepada kamu yang tidak pernah jadi satu-satunya,[by] Chacha Thaib,Media Kita,2022,단행본,서울도서관,20251203
Di antara senja yang kelabu,[by] Clarisa,TransMedia pustaka,2020,단행본,서울도서관,20251203
Di atas sajadah cinta,[by] Habiburrahman El Shirazy,Republika Penerbit,2020,단행본,서울도서관,20251203
Ibu tercinta =Please look after mom,[by] Kyong-suk Sin,Gramedia Pustaka Utama,2020,단행본,서울도서관,20251203
